Terms,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,TFNorm,DF,IDF,TFIDF
panas,0.0,0.0,0.0,0.0,0.0,0.3242141791770686,0.0,0.0,0.0,0.0,0.3242141791770686,1,2.7047480922384253,0.8769176826058233
pas,0.20511132744227925,0.0,0.0,0.0,0.0,0.0,0.0,0.12196074070777727,0.0,0.0,0.3270720681500565,2,2.2992829841302607,0.752031240881718
pertama,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
pinggir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
pipi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
pori,0.0,0.0,0.0,0.0,0.0,0.0,0.3035758798917438,0.0,0.0,0.0,0.3035758798917438,1,2.7047480922384253,0.8210962819867953
rasa,0.0,0.0,0.12060841351119624,0.0,0.0,0.0,0.0,0.0,0.0,0.18134130626763578,0.301949719778832,2,2.2992829841302607,0.694267852750369
review,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
rilis,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
ringan,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
sama,0.20511132744227925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36268261253527156,0.5677939399775508,2,2.2992829841302607,1.3055189446826612
sensitif,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
sih,0.0,0.0,0.12060841351119624,0.0,0.0,0.0,0.0,0.12196074070777727,0.0,0.0,0.24256915421897346,2,2.2992829841302607,0.5577351287705548
